Title,Author,Publisher,Date Read,Rating,My Rating,Category,Pages
"Szóste wymieranie. Historia nienaturalna",Elizabeth Kolbert,W.A.B.,2017-12-17,7.6,8,reportaż,384
"Księżyc z peweksu. O luksusie w PRL",Aleksandra Boćkowska,Czarne,2017-12-13,6.3,9,reportaż,328
"Nie opuszczaj mnie",Kazuo Ishiguro,Albatros,2017-11-29,7.0,6,literatura piękna,320
"Cięcie - włosy ludu polskiego",Paweł Ziegler | Joanna Ambroz,Bosz,2017-11-21,5.9,3,popularnonaukowa,64
"Diabeł i tabliczka czekolady",Paweł Piotr Reszka,Agora,2017-11-21,7.1,7,reportaż,220
"Ganbare! Warsztaty umierania",Katarzyna Boni,Agora,2017-11-20,8.0,9,reportaż,304
"Jak zawsze",Zygmunt Miłoszewski,W.A.B.,2017-11-20,7.0,9,literatura piękna,480
"Mitologia Słowian",Aleksander Gieysztor,Wydawnictwa Artystyczne i Filmowe,2017-11-15,7.1,7,religia,272
"Europejka",Manuela Gretkowska,W.A.B.,2017-10-28,6.3,7,literatura piękna,354
"Sowiety od kuchni. Mikojan i radziecka gastronomia",Irina Głuszczenko,Krytyka Polityczna,2017-12-27,6.3,7,historia,208
"Księga smoków polskich",Paweł Zych | Witold Vargas,Bosz,2017-11-04,7.4,7,historia,144
"Złoty pociąg. Krótka historia szaleństwa",Joanna Lamparska,Burda Publishing Polska,2017-10-22,6.0,7,reportaż,222
"Polak sprzeda zmysły",Konrad Oprzędek,Dowody na Istnienie,2017-10-18,6.6,7,reportaż,150
"Lata powyżej zera",Anna Cieplak,Znak Literanova,2017-10-17,6.4,6,literatura piękna,272
"Blush. Faces of Shame",Elspeth Probyn,,2017-10-14,5.0,5,nauki społeczne (psychologia | socjologia | itd.),
"Na linii świata",Manuela Gretkowska,Znak Literanova,2017-10-10,4.7,5,literatura piękna,356
"Elegancja jeża",Muriel Barbery,Sonia Draga,2017-10-09,7.1,6,literatura piękna,360
"Some Hope",Edward St Aubyn,,2017-08-24,7.0,7,literatura piękna,
